geneNames	GSM302859	GSM302864	GSM302866	GSM302870	GSM302872	GSM302882	GSM302896	GSM302900	GSM302924	GSM302927	GSM302933	GSM302943	GSM303364	GSM303366	GSM303368	GSM303520	GSM303522	GSM303523	GSM303525	GSM303531	GSM303533
FOXB1	4.04369	18.5567	10.1595	19.2527	5.39649	6.4492	4.94969	4.7966	8.03559	13.9989	8.27217	3.9294	17.009	5.2219	6.54982	26.6854	15.3788	18.4249	8.83339	7.76134	7.73757
FOXC1	2413.31	1569.27	1628.03	1411.27	1085.12	1794.45	1000.46	1380.83	1100.96	1343.38	1278.59	771.271	893.372	1136.95	1114.01	392.817	1739.33	1440.07	1937.45	1544.18	4109.5
FOXC2	74.9847	52.97	12.7707	97.7795	18.5454	41.635	12.748	57.0598	72.3257	60.7046	85.3446	10.5967	71.2469	17.965	8.53701	31.5189	36.6687	29.9769	78.9522	129.177	265.951
FOXD1	80.4293	814.071	47.316	17.8946	45.4043	816.492	178.073	196.807	179.704	123.398	23.9448	24.055	56.8294	268.876	7.36286	39.2055	197.224	41.8316	6.49075	14.8323	6.35989
FOXD2	47.6766	60.635	65.4129	41.069	72.6972	30.5811	40.5473	79.9495	70.244	34.7932	58.4231	41.0468	67.0772	60.6223	28.9008	110.05	44.2442	45.935	111.391	122.454	54.313
FOXD3	2.47684	13.9852	4.77238	5.17712	4.4601	4.38837	5.86993	2.71896	6.94215	3.10258	2.75881	3.09523	7.79267	2.7573	3.96427	13.2011	13.2891	3.00716	7.0428	5.08266	3.1321
FOXE1	19.79586	29.21155	31.1364	37.045495	10.33124	5.74025	16.8139	3.779435	7.09489	14.422275	3.72653	5.031085	5.720355	9.295175	22.6933	35.23645	21.59042	5.079645	9.49879	26.6129	16.72671
FOXE3	40.3919	12.2256	11.6764	20.9597	18.9368	14.4606	10.8104	8.91942	36.712	6.31028	6.09252	39.5851	23.0342	45.1276	20.943	13.687	11.402	15.6445	10.3071	70.3243	13.536
FOXF1	244.353	137.293	92.913	102.49	145.244	123.159	146.184	81.2719	94.7252	106.482	113.364	101.536	187.464	137.059	96.7181	131.466	139.376	122.342	67.2761	108.959	122.144
FOXF2	406.277	274.139	113.558	123.826	187.227	80.833	80.8223	67.4602	86.4288	178.37	156.822	79.2034	110.377	112.811	93.4839	127.813	112.827	85.6108	74.2081	89.4669	149.44
FOXG1	16.848495	11.95435	11.041165	21.202235	24.70585	18.14379	15.362595	16.099785	11.585765	14.4271	12.05836	12.99915	19.2142	15.56741	19.71425	28.480955	15.826865	16.653205	15.41521	28.84272	14.56054
